data,normed data
5.24,0.943986793
4.55,0.856679125
3.84,0.738180517
3.97,0.761404775
3.94,0.75609314
3.91,0.750751922
3.47,0.669748119
1.78,0.361721038
1.79,0.363342834
1.76,0.358488526
1.04,0.252766304
1.8,0.364968301
1.82,0.36823019
1.81,0.366597426
1.83,0.369866579
1.84,0.371506577
3.7,0.712631865
4.58,0.861141869
4.47,0.844524681
4.71,0.87984777
3.07,0.593798287
3.12,0.603320063
4.23,0.8060281
4.41,0.83517615
5.03,0.921079142
7.11,0.969786191
7.59,0.923689536
7.88,0.887086595
7.17,0.965099075
8.12,0.852529956
7.94,0.878786149
8.4,0.808089084
8.15,0.847967375
8.32,0.821192263
8.6,0.77409809
9.83,0.544942589
9.21,0.662662056
8.05,0.86297376
7.72,0.908029006
4.92,0.907725722
3.76,0.723642443
3.64,0.701539709
3.31,0.639476813
2.79,0.540717955
0.97,0.243658117
0.3,0.167344415
0.77,0.218819742
1.36,0.297103252
2.75,0.533196079
3.25,0.628072264
3.74,0.719981878
3.41,0.658426767
4.51,0.850647302
5.48,0.965708917
5.81,0.987196446
6.22,0.999495033
6.43,0.999416581
6.7,0.992949993
8.09,0.857041016
9.44,0.61901689
9.51,0.605685615
9.71,0.567643793
10.94,0.349265512
11.23,0.304780347
11.82,0.225159701
9.77,0.556276118
9.5,0.607590334
8.1,0.855543121
4.39,0.832017382
3.59,0.692240485
2.24,0.439856608
1.75,0.356877839
2.03,0.403329181
2.97,0.574777906
2.82,0.546372337
3.17,0.612843412
4.28,0.814282134
4.19,0.799343248
4.98,0.915120587
3.83,0.73637282
4.46,0.84298014
6.65,0.994683715
6.75,0.990974942
7.99,0.871692035
9.26,0.653209231
9.29,0.64752575
8.37,0.813038227
8.69,0.758295734
8.8,0.738617472
9.27,0.651315639
8.17,0.844897565
8.65,0.765354255
8.98,0.705693366
7.61,0.921362704
7.82,0.895147584
7.54,0.929371952
7.62,0.920187874
6.47,0.998908964
7.34,0.950108008
7.07,0.972731697
6.55,0.997422243
2.85,0.552036849
2.5,0.48675493
2.9,0.561497748
3.46,0.667864264
3.67,0.707095415
4.09,0.782332416
4.62,0.867008667
4.79,0.890822242
5.86,0.989566048
5.99,0.994605395
5.91,0.991696809
5.11,0.930216482
5.41,0.959885244
4.67,0.874204404
4.81,0.893499063
5.02,0.919902479
4.83,0.896148576
4.25,0.80934357
4.08,0.780609031
4.9,0.905202652
6,0.994925413
6.05,0.996379648
6.37,0.999882627
7.2,0.96263585
7.22,0.960949809
7.74,0.905509414
8.43,0.803098784
9.76,0.558168558
10.15,0.485365065
10.66,0.39524498
11.07,0.3289101
11.36,0.285952434
13.01,0.110130784
13.21,0.096328945
13.71,0.067745717
14.23,0.045765008
12.08,0.194899398
12.49,0.153139097
12.54,0.148532768
12.42,0.159762751
12.64,0.139628296
12.66,0.137896193
12.61,0.142256808
12.89,0.119118047
11.93,0.21199493
8.45,0.799749614
7.35,0.949149221
7.13,0.968259489
7.01,0.976877682
7.95,0.877380027
7.6,0.922529935
7.7,0.910519691
8.01,0.868810472
8.29,0.826026126
7.8,0.897779993
8.66,0.763594785
8.28,0.827627405
9.98,0.516805381
9.97,0.518670947
8.76,0.745816375
8.31,0.822808514
7.56,0.927122232
7.98,0.873123482
8.03,0.865904276
7.18,0.96428681
5.96,0.993587164
5.56,0.971832607
6.39,0.999766692
7.66,0.915413236
7.1,0.970536087
8.11,0.854039421
8.34,0.81794508
8.99,0.703841953
8.63,0.768862621
8.36,0.814678599
6.97,0.979458281
7.5,0.933777272
7.91,0.882965801
9.3,0.645629533
9.13,0.677724298
9.16,0.672085957
9.1,0.683349286
